"Kods","Koda atšifrējums latviešu valodā","Koda atšifrējums angļu valodā","Pakalpojuma kategorijas Nr."
"33946000-3","Sekcijas ratiņi.","Autopsy carts","preces"
"33947000-0","Sekcijas paplātes.","Cadaver trays","preces"
"33948000-7","Līķu pacēlāji vai pārvietošanas ierīces.","Cadaver lifter or transfer devices","preces"
"33949000-4","Tvertnes līķu transportēšanai.","Body transport containers","preces"
"33950000-4","Klīniskās tiesu medicīnas aprīkojums vai piederumi.","Clinical forensics equipment and supplies","preces"
"33951000-1","Pirkstu nospiedumu noņemšanas komplekti.","Post-mortem fingerprint or impression materials","preces"
"33952000-8","Pretpūšanas maskas.","Transport equipment and auxiliary products to transportation","preces"
"33953000-5","Sekcijas asins analīzes komplekti un piederumi.","Post-mortem blood detection kits or supplies","preces"
"33954000-2","Instrumentu komplekts bioloģisko pierādījumu ņemšanai.","Biological evidence collection kits","preces"
"33960000-7","Iebalzamēšanas aprīkojums un piederumi.","Embalming equipment and supplies","preces"
"33961000-4","Iebalzamēšanas dobumu inžektori.","Embalming cavity injectors","preces"
"33962000-1","Iebalzamēšanas vēnu drenāžas caurules.","Embalming vein drainage tubes","preces"
"33963000-8","Iebalzamēšanas šķīdumi vai ķīmiskie līdzekļi.","Embalming fluids or chemical treatments","preces"
"33964000-5","Iebalzamēšanas inžektora caurules.","Embalming injecting tubes","preces"
"33965000-2","Iebalzamēšanas izlietnes vai piederumi.","Embalming sinks or accessories","preces"
"33966000-9","Iebalzamēšanas komplekti.","Embalming kits","preces"
"33967000-6","Iebalzamēšanas inžektora adatas.","Embalming injector needles","preces"
"33968000-3","Acu vāciņi.","Eye caps","preces"
"33970000-0","Morga aprīkojums un piederumi.","Mortuary equipment and supplies","preces"
"33971000-7","Morga darba apģērbs.","Mortuary outfits","preces"
"33972000-4","Morga iepakošanas materiāls.","Mortuary packs","preces"
"33973000-1","Pārvalki apbedīšanas vajadzībām.","Mortuary wraps","preces"
"33974000-8","Aspiratori apbedīšanas vajadzībām.","Mortuary aspirators","preces"
"33975000-5","Stiprināšanas maisījums apbedīšanas vajadzībām.","Mortuary hardening compounds","preces"
"34000000-7","Transporta iekārtas un palīgiekārtas transportēšanai.","Transport equipment and auxiliary products to transportation","preces"
"34100000-8","Mehāniskie transportlīdzekļi.","Motor vehicles","preces"
"34110000-1","Vieglie automobiļi.","Passenger cars","preces"
"34111000-8","Universāli un limuzīni.","Estate and saloon cars","preces"
"34111100-9","Universāli.","Estate cars","preces"
"34111200-0","Limuzīni.","Saloon cars","preces"
"34113000-2","Transportlīdzekļi ar četru riteņu piedziņu.","4-wheel-drive vehicles","preces"
"34113100-3","Džipi.","Jeeps","preces"
"34113200-4","Apvidus transportlīdzekļi.","All-terrain vehicles","preces"
"34113300-5","Bezceļu transportlīdzekļi.","Off-road vehicles","preces"
"34114000-9","Īpaša lietojuma transportlīdzekļi.","Specialist vehicles","preces"
"34114100-0","Avārijas transportlīdzekļi.","Emergency vehicles","preces"
"34114110-3","Glābšanas transportlīdzekļi.","Rescue vehicles","preces"
"34114120-6","Paramedicīniskie transportlīdzekļi.","Paramedic vehicles","preces"
"34114121-3","Neatliekamās medicīniskās palīdzības automašīnas.","Ambulances","preces"
"34114122-0","Transportlīdzekļi pacientu pārvadāšanai.","Patient-transport vehicles","preces"
"34114200-1","Policijas automašīnas.","Police cars","preces"
"34114210-4","Transportlīdzekļi ieslodzīto pārvadāšanai.","Prisoner-transport vehicles","preces"
"34114300-2","Sociālās palīdzības dienestu transportlīdzekļi.","Welfare vehicles","preces"
"34114400-3","Mikroautobusi.","Minibuses","preces"
"34115000-6","Citādi vieglie automobiļi.","Other passenger cars","preces"
"34115200-8","Mehāniskie transportlīdzekļi mazāk kā 10 cilvēku pārvadāšanai.","Motor vehicles for the transport of fewer than 10 persons","preces"
"34115300-9","Lietoti transportlīdzekļi.","Second-hand transport vehicles","preces"
"34120000-4","Mehāniskie transportlīdzekļi 10 un vairāk cilvēku pārvadāšanai.","Motor vehicles for the transport of 10 or more persons","preces"
"34121000-1","Autobusi un tūristu autobusi.","Buses and coaches","preces"
"34121100-2","Sabiedrisko pasažieru pārvadājumu autobusi.","Public-service buses","preces"
"34121200-3","Posmainie autobusi.","Articulated buses","preces"
"34121300-4","Divstāvu autobusi.","Double-decker buses","preces"
"34121400-5","Autobusi ar pazeminātu grīdu.","Low-floor buses","preces"
"34121500-6","Tūristu autobusi.","Coaches","preces"
"34130000-7","Mehāniskie transportlīdzekļi kravu pārvadāšanai.","Motor vehicles for the transport of goods","preces"
"34131000-4","Pikapi.","Pick-ups","preces"
"34132000-1","Ar motoru darbināmas ragavas.","Motor sledges","preces"
"34133000-8","Kravas autovilcieni.","Articulated trucks","preces"
"34133100-9","Autocisternas.","Tankers","preces"
"34133110-2","Degvielas autocisternas.","Fuel-tanker trucks","preces"
"34134000-5","Kravas automašīnas ar bezbortu piekabi un pašizkrāvēji.","Flatbed and Tipper trucks","preces"
"34134100-6","Kravas automašīnas ar bezbortu platformām.","Flatbed trucks","preces"
"34134200-7","Pašizkrāvēji.","Tipper trucks","preces"
"34136000-9","Autofurgoni.","Vans","preces"
"34136100-0","Vieglie autofurgoni.","Light vans","preces"
"34136200-1","Paneļfurgoni.","Panel vans","preces"
"34137000-6","Lietoti kravas transportlīdzekļi.","Second-hand goods vehicles","preces"
"34138000-3","Autovilcēji.","Road tractor units","preces"
"34139000-0","Šasijas.","Chassis","preces"
"34139100-1","Šasijas ar kabīni.","Chassis cabs","preces"
"34139200-2","Šasijas ar virsbūvi.","Chassis bodies","preces"
"34139300-3","Pilnas šasijas.","Complete chassis","preces"
"34140000-0","Lieljaudas mehāniskie transportlīdzekļi.","Heavy-duty motor vehicles","preces"
"34142000-4","Autoceltņi un pašizgāzēji.","Crane and dumper trucks","preces"
"34142100-5","Smagās automašīnas ar pacēlājplatformām.","Elevator-platforms trucks","preces"
"34142200-6","Konteineru iekrāvējmašīnas.","Skip loaders","preces"
"34142300-7","Pašizgāzēji.","Dumper trucks","preces"
"34143000-1","Transportlīdzekļi ceļu uzturēšanai ziemas apstākļos.","Winter-maintenance vehicles","preces"
"34144000-8","Īpaša lietojuma mehāniskie transportlīdzekļi.","Special-purpose motor vehicles","preces"
"34144100-9","Pārvietojamie urbjtorņi.","Mobile drilling derricks","preces"
"34144200-0","Avārijas dienestu transportlīdzekļi.","Vehicles for the emergency services","preces"
"34144210-3","Ugunsdzēsības transportlīdzekļi.","Firefighting vehicles","preces"
"34144211-0","Kravas automobiļi ar grozāmām kāpnēm.","Turntable-ladder trucks","preces"
"34144212-7","Ūdenspiegādes transportlīdzekļi.","Water-tender vehicles","preces"
"34144213-4","Ugunsdzēsēju mašīnas.","Fire engines","preces"
"34144220-6","Autotehniskās palīdzības transportlīdzekļi.","Breakdown vehicles","preces"
"34144300-1","Pārvietojamie tilti.","Mobile bridges","preces"
"34144400-2","Ceļu uzturēšanas transportlīdzekļi.","Road-maintenance vehicles","preces"
"34144410-5","Notekūdeņu sūknēšanas mašīnas.","Gully emptiers","preces"
"34144420-8","Sāls kaisītāji.","Salt spreaders","preces"
"34144430-1","Ceļu slaucītāji.","Road-sweeping vehicles","preces"
"34144431-8","Transportlīdzekļi ceļu slaucīšanai un putekļu uzsūkšanai.","Suction-sweeper vehicles","preces"
"34144440-4","Grants kaisītāji.","Gritter vehicles","preces"
"34144450-7","Ceļu laistīšanas transportlīdzekļi.","Sprinkler vehicles","preces"
"34144500-3","Atkritumu un notekūdeņu savākšanas transportlīdzekļi.","Vehicles for refuse and sewage","preces"
"34144510-6","Atkritumu savākšanas transportlīdzekļi.","Vehicles for refuse","preces"
"34144511-3","Atkritumu savākšanas mašīnas.","Refuse-collection vehicles","preces"
"34144512-0","Atkritumu presēšanas mašīnas.","Refuse-compaction vehicles","preces"
"34144520-9","Notekūdeņu autocisternas.","Sewage tankers","preces"
"34144700-5","Specializētas izmantošanas transportlīdzekļi.","Utility vehicles","preces"
"34144710-8","Krāvēji uz riteņiem.","Wheeled loaders","preces"
"34144730-4","Lidaparātu degvielas uzpildes transportlīdzekļi.","Aircraft-refuelling vehicles","preces"
"34144740-7","Lidaparātu vilkšanas transportlīdzekļi.","Aircraft-towing vehicles","preces"
"34144750-0","Kravu vedēji.","Cargo carriers","preces"
"34144751-7","Statņu transportieri.","Straddle carriers","preces"
"34144760-3","Pārvietojamās bibliotēkas.","Mobile library vehicles","preces"
"34144800-6","Pārvietojamās mājas.","Mobile homes","preces"
"34144900-7","Elektriskie transportlīdzekļi.","Electric vehicles","preces"
"34144910-0","Elektriskie autobusi.","Electric buses","preces"
"34150000-3","Simulatori.","Simulators","preces"
"34151000-0","Autovadīšanas simulatori.","Driving simulators","preces"
"34152000-7","Mācību simulatori.","Training simulators","preces"
"34200000-9","Transportlīdzekļu virsbūves, piekabes vai puspiekabes.","Vehicle bodies, trailers or semi-trailers","preces"
"34210000-2","Transportlīdzekļu virsbūves.","Vehicle bodies","preces"
"34211000-9","Autobusu virsbūves, ātrās medicīniskās palīdzības automašīnu virsbūves un kravas transportlīdzekļu virsbūves.","Bus bodies, ambulance bodies and vehicle bodies for goods vehicles","preces"
"34211100-9","Autobusu virsbūves.","Bus bodies","preces"
"34211200-9","Ātrās medicīniskās palīdzības automašīnu virsbūves.","Ambulance bodies","preces"
"34211300-9","Kravas transportlīdzekļu virsbūves.","Vehicle bodies for goods vehicles","preces"
"34220000-5","Piekabes, puspiekabes un pārvietojamie konteineri.","Trailers, semi-trailers and mobile containers","preces"
"34221000-2","Īpaša lietojuma pārvietojamie konteineri.","Special-purpose mobile containers","preces"
"34221100-3","Pārvietojamās glābšanas transporta vienības.","Mobile incident units","preces"
"34221200-4","Pārvietojamās avārijas transporta vienības.","Mobile emergency units","preces"
"34221300-5","Ķīmisko avāriju transporta vienības.","Chemical incident unit","preces"
"34223000-6","Piekabes un puspiekabes.","Trailers and semi-trailers","preces"
"34223100-7","Puspiekabes.","Semi-trailers","preces"
"34223200-8","Degvielas uzpildes autocisternas (sauszemes militārajiem transportlīdzekļiem vai lidmašīnām).","Bowsers","preces"
"34223300-9","Piekabes.","Trailers","preces"
"34223310-2","Vispārēja lietojuma piekabes.","General-purpose trailers","preces"
"34223320-5","Piekabes zirgu pārvadāšanai.","Horsebox trailers","preces"
"34223330-8","Pārvietojamās transporta vienības uz piekabēm.","Mobile units on trailers","preces"
"34223340-1","Cisternu piekabes.","Tanker trailers","preces"
"34223350-4","Grozāmo kāpņu piekabes.","Turntable-ladder trailers","preces"
"34223360-7","Degvielas uzpildes piekabes.","Refuelling trailers","preces"
"34223370-0","Pašizkrāvēju piekabes.","Tipper trailers","preces"
"34223400-0","Dzīvojamās piekabes un puspiekabes.","Caravan-type trailers and semi-trailers","preces"
"34224000-3","Piekabju, puspiekabju un citu transportlīdzekļu detaļas.","Parts of trailers, semi-trailers and other vehicles","preces"
"34224100-4","Piekabju un puspiekabju detaļas.","Parts of trailers and semi-trailers","preces"
"34224200-5","Citu transportlīdzekļu detaļas.","Parts of other vehicles","preces"
"34300000-0","Detaļas un piederumi transportlīdzekļiem un to dzinējiem.","Parts and accessories for vehicles and their engines","preces"
"34310000-3","Dzinēji un dzinēju detaļas.","Engines and engine parts","preces"
"34311000-0","Dzinēji.","Engines","preces"
"34311100-1","Iekšdedzes dzinēji mehāniskajiem transportlīdzekļiem un motocikliem.","Internal-combustion engines for motor vehicles and motorcycles","preces"
"34311110-4","Dzirksteļaizdedzes dzinēji.","Spark-ignition engines","preces"
"34311120-7","Kompresijas aizdedzes dzinēji.","Compression-ignition engines","preces"
"34312000-7","Dzinēju detaļas.","Engine parts","preces"
"34312100-8","Ventilatoru siksnas.","Fan belts","preces"
"34312200-9","Aizdedzes sveces.","Spark plugs","preces"
"34312300-0","Automašīnu radiatori.","Vehicle radiators","preces"
"34312400-1","Virzuļi.","Pistons","preces"
"34312500-2","Blīves.","Gaskets","preces"
"34312600-3","Konveijeru gumijas lentas.","Rubber conveyor belts","preces"
"34312700-4","Gumijas pārnesuma siksnas.","Rubber transmission belts","preces"
"34320000-6","Mehāniskās rezerves daļas, izņemot dzinējus un dzinēju detaļas.","Mechanical spare parts except engines and engine parts","preces"
"34321000-3","Asis un pārnesumkārbas","Axles and gearboxes","preces"
"34321100-4","Asis.","Axles","preces"
"34321200-5","Pārnesumkārbas.","Gearboxes","preces"
"34322000-0","Bremzes un bremžu detaļas.","Brakes and brake parts","preces"
"34322100-1","Bremžu mehānismi.","Brake equipment","preces"
"34322200-2","Diska bremzes.","Disc brakes","preces"
"34322300-3","Bremžu uzlikas.","Brake linings","preces"
"34322400-4","Bremžu kluči.","Brake pads","preces"
"34322500-5","Bremžu loki.","Brake shoes","preces"
"34324000-4","Riteņi, to detaļas un piederumi.","Wheels, parts and accessories","preces"
"34324100-5","Riteņu balansēšanas iekārtas.","Wheel-balancing equipment","preces"
"34325000-1","Klusinātāji un izpūtēji.","Silencers and exhaust pipes","preces"
"34325100-2","Klusinātāji.","Silencers","preces"
"34325200-3","Izpūtēji.","Exhaust pipes","preces"
"34326000-8","Automašīnu domkrati, sajūgi un to saistītās detaļas","Vehicle jacks, clutches and associated parts","preces"
"34326100-9","Sajūgi un to saistītās detaļas.","Clutches and associated parts","preces"
"34326200-0","Automašīnu domkrati.","Vehicle jacks","preces"
"34327000-5","Stūres rati, stūres statņi un stūres mehānisma karteri.","Steering wheels, columns and boxes","preces"
"34327100-6","Stūres rati.","Steering wheels","preces"
"34327200-7","Stūres statņi un stūres mehānisma karteri.","Columns and boxes","preces"
"34328000-2","Pārbaudes stendi, transportlīdzekļu pārbūves piederumi un drošības jostas.","Test benches, vehicle conversion kits and seat belts","preces"
"34328100-3","Pārbaudes stendi.","Test benches","preces"
"34328200-4","Transportlīdzekļu pārbūves piederumi.","Vehicle conversion kits","preces"
"34328300-5","Drošības jostas.","Seat belts","preces"
"34330000-9","Kravas transportlīdzekļu, furgonu un vieglo automobiļu detaļas.","Spare parts for goods vehicles, vans and cars","preces"
"34350000-5","Riepas lielas/mazas noslodzes transportlīdzekļiem.","Tyres for heavy/light-duty vehicles","preces"
"34351000-2","Riepas mazas noslodzes transportlīdzekļiem.","Light-duty tyres","preces"
"34351100-3","Automašīnu riepas.","Tyres for motor cars","preces"
"34352000-9","Riepas lielas noslodzes transportlīdzekļiem.","Heavy-duty tyres","preces"
"34352100-0","Smago automašīnu riepas.","Tyres for trucks","preces"
"34352200-1","Autobusu riepas.","Tyres for buses","preces"
"34352300-2","Lauksaimniecības tehnikas riepas.","Agrarian tyres","preces"
